Resturant,Rating,Review,Cuisine,price
 Olamaie,4,455,Italian,$31-$60
 Fukumoto Sushi and Yakitori,4.5,498,Italian,$31-$60
 Lenoir,4,503,Italian,$31-$60
 Eddie Vs Prime Seafood,4.5,527,Italian,$31-$60
 Eberly,4,549,Italian,$31-$60
 The Roosevelt Room,4.5,581,Italian,$31-$60
 Vespaio Ristorante,4,606,Italian,$31-$60
 ALC Steaks,4,611,Italian,$31-$60
 Trulucks Oceans Finest Seafood and Crab,4.5,616,Italian,$31-$60
 Olive and June,4,643,Italian,$31-$60
 Clarks Oyster Bar,4,665,Italian,$31-$60
 Musashino Sushi Dokoro,4,728,Italian,$31-$60
 Wink,4,795,Italian,$31-$60
 Fixe Austins Southern House,4,798,Italian,$31-$60
 Bartletts,4,823,Italian,$31-$60
 Pappadeaux Seafood Kitchen,4,832,Italian,$31-$60
 Red Ash,4.5,916,Italian,$31-$60
 Trulucks Oceans Finest Seafood and Crab,4.5,921,Italian,$31-$60
 Fonda San Miguel,4,966,Italian,$31-$60
 Barley Swine,4.5,1134,Italian,$31-$60
 Justines Brasserie,4,1163,Italian,$31-$60
 Eddie Vs Prime Seafood,4.5,1223,Italian,$31-$60
 Perrys Steakhouse and Grille Downtown Austin,4,1250,Italian,$31-$60
 Perlas,4,1697,Italian,$31-$60
 Odd Duck,4.5,1900,Italian,$31-$60
 Delysia Chocolatier,4.5,43,Italian,over $61
 J Carvers,4,65,Italian,over $61
 Ruths Chris Steak House,3.5,393,Italian,over $61
 Lolita La Tampiquena,4,17,Mexican,under $10
 La Sabroza,4.5,18,Mexican,under $10
 Kings Taqueria Y Mas,5,18,Mexican,under $10
 Taqueria La Escondida ,3.5,19,Mexican,under $10
 Ricos Tacos,5,19,Mexican,under $10
 Ricos Tacos,5,19,Mexican,under $10
 Nonos Tacos,5,21,Mexican,under $10
 El Perrito,5,21,Mexican,under $10
 El Pollo Rico,4,21,Mexican,under $10
 Taquitos Michoacanos,4.5,22,Mexican,under $10
 Cabo Bobs Burritos,4,155,Mexican,under $10
 Taqueria Los Jaliscienses,4,156,Mexican,under $10
 Little Mexico Restaurant,3.5,157,Mexican,under $10
 El Faro Mexican Food,4,160,Mexican,under $10
 Taco Cabana,1.5,164,Mexican,under $10
 La Casita,3.5,166,Mexican,under $10
 One Taco,3.5,167,Mexican,under $10
 nonos tacos,4.5,168,Mexican,under $10
 Vazquez Restaurant,4,174,Mexican,under $10
 Taquerias Arandinas,3.5,174,Mexican,under $10
 Taqueria Chapala,4,175,Mexican,under $10
 El Tacorrido,4,179,Mexican,under $10
 Rosas Cafe and Tortilla Factory,3,181,Mexican,under $10
 El Pollo Rico,4.5,183,Mexican,under $10
 Taqueria Guadalajara,3.5,188,Mexican,under $10
 Taco Mex,4.5,189,Mexican,under $10
