Resturant,Rating,Review,Cuisine,price
 Taverna,3.5,1003,American,$11-$30
 Parkside,4,1009,American,$11-$30
 True Food Kitchen,4.5,1015,American,$11-$30
 The Salt Lick BBQ  Austin Airport,3.5,1051,American,$11-$30
 Pinthouse Pizza,4,1119,American,$11-$30
 Roaring Fork,4,1146,American,$11-$30
 Launderette,4,1185,American,$11-$30
 Roaring Fork,4,1222,American,$11-$30
 Peche,4,1229,American,$11-$30
 Snooze an AM Eatery,4,1250,American,$11-$30
 Phoebes Diner,4.5,1262,American,$11-$30
 Casino El Camino,3.5,1284,American,$11-$30
 Kerbey Lane Cafe  Central,4,1347,American,$11-$30
 North Italia,4,1403,American,$11-$30
 Loro,4,1456,American,$11-$30
 Culinary Dropout,4,1486,American,$11-$30
 Gourdoughs Public House,4,1654,American,$11-$30
 Magnolia Cafe South,3.5,1661,American,$11-$30
 Jack Allens Kitchen,4.5,1759,American,$11-$30
 Hopdoddy Burger Bar,4,1839,American,$11-$30
 Lamberts Downtown Barbecue,4,1844,American,$11-$30
  Diner,3.5,1961,American,$11-$30
 Bangers Sausage House and Beer Garden,4,2524,American,$11-$30
 Guss World Famous Fried Chicken,4.5,2718,American,$11-$30
 The OASIS on Lake Travis,2.5,2887,American,$11-$30
 Salty Sow,4.5,2888,American,$11-$30
 Hopdoddy Burger Bar,4,4857,American,$11-$30
 Moonshine Patio Bar and Grill,4.5,5150,American,$11-$30
 Franklin Barbecue,4.5,5256,American,$11-$30
 Hill Country Dining,3,9,American,$31-$60
 The Austin Club,4.5,27,American,$31-$60
 United Club,3,37,American,$31-$60
 Visconti Ristorante and Bar,3.5,43,American,$31-$60
 Living Room Lounge  W Hotel Austin,4,103,American,$31-$60
 Sammies Italian,3.5,104,American,$31-$60
 Hudsons Hill Country,4,119,American,$31-$60
 Plate By Dzintra,4,194,American,$31-$60
 CARVE American Grille,4,277,American,$31-$60
 Matties,4,286,American,$31-$60
 The Carillon,4.5,293,American,$31-$60
 Perrys Steakhouse and Grille  Northside,3.5,300,American,$31-$60
 Arlo Grey by Kristen Kish,4,320,American,$31-$60
 The Capital Grille,4,362,American,$31-$60
 Ginos Vino Osteria,4.5,381,American,$31-$60
 LOca dOro,4,401,American,$31-$60
 Bobs Steak and Chop House,4,426,American,$31-$60
 Soto South Lamar,4,431,American,$31-$60
 Geraldines,3.5,455,American,$31-$60
 Olamaie,4,455,American,$31-$60
 Fukumoto Sushi and Yakitori,4.5,498,American,$31-$60
 Lenoir,4,503,American,$31-$60
 Flemings Prime Steakhouse and Wine Bar,4,506,American,$31-$60
 Eddie Vs Prime Seafood,4.5,527,American,$31-$60
 Eberly,4,549,American,$31-$60
 Paul Martins American Grill,4,565,American,$31-$60
 Vince Young Steakhouse,4,571,American,$31-$60
 The Roosevelt Room,4.5,581,American,$31-$60
 ALC Steaks,4,611,American,$31-$60
